"ac_type"|"cn_ln"|"crew_aboard"|"crew_fatalities"|"date"|"flight_no"|"ground"|"location"|"operator"|"passengers_aboard"|"passengers_fatalities"|"registration"|"route"|"summary"|"time"|"total_aboard"
"de Havilland DH-4"|"?"|"1"|"1"|"December 11, 1919"|"?"|"0"|"Catherham, Surrey, UK"|"Aircraft Travel Transport"|"1"|"1"|"G-EAHF"|"Paris - Hounslow"|"Crashed in a field while attemptting to land."|"?"|"1"
"De Havilland DH-4"|"?"|"1"|"1"|"March 10, 1920"|"?"|"0"|"New Paris, Indiana"|"US Aerial Mail Service"|"0"|"0"|"65"|"?"|"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."|"?"|"1"
"De Havilland DH-4"|"?"|"1"|"1"|"March 30, 1920"|"?"|"0"|"Newark, New Jersey"|"US Aerial Mail Service"|"0"|"0"|"72"|"Washington - Newark"|"George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility."|"?"|"1"
"Curtiss R-4LM"|"?"|"1"|"1"|"April 10, 1920"|"?"|"0"|"Newark, New Jersey"|"US Aerial Mail Service"|"1"|"0"|"49"|"?"|"After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed."|"?"|"2"
"Curtiss JN-4H"|"?"|"1"|"1"|"April 11, 1920"|"?"|"0"|"Heller Field, New Jersey"|"US Aerial Mail Service"|"1"|"0"|"44"|"?"|"The aircraft crashed while on approach for unknown reasons."|"?"|"2"
"De Havilland DH-4"|"?"|"1"|"0"|"May 12, 1920"|"?"|"0"|"Oskaloosa, Iowa"|"US Aerial Mail Service"|"1"|"1"|"79"|"?"|"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field."|"?"|"2"
"De Havilland DH-4"|"?"|"1"|"1"|"June 06, 1920"|"?"|"0"|"Cleveland, Ohio"|"US Aerial Mail Service"|"0"|"0"|"204"|"?"|"The aircraft suffered engine failure and crashed shortly after taking off."|"?"|"1"
"Farman F-40"|"?"|"1"|"1"|"July 20, 1920"|"?"|"0"|"Cartagena, Columbia"|"Compañia Colombiana de Navegación Aérea"|"1"|"1"|"?"|"?"|"Crashed while taking off after engine failure. Engine failure due to fuel exhaustion."|"?"|"1"
"Armstrong-Whitworth F-K-8"|"?"|"1"|"1"|"August 16, 1920"|"?"|"0"|"Bedford, England"|"By Air"|"0"|"0"|"G-EALW"|"?"|"The plane crashed during a cargo flight under unknown circumstances."|"?"|"1"
"De Havilland DH-4"|"?"|"1"|"1"|"August 16, 1920"|"?"|"0"|"College Park, Maryland"|"US Aerial Mail Service"|"0"|"0"|"317"|"?"|"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."|"?"|"1"
"Junkers JL-6"|"?"|"2"|"2"|"September 01, 1920"|"?"|"0"|"Morristown, New Jersey"|"US Aerial Mail Service"|"0"|"0"|"305"|"?"|"While en route, the mail plane went out of control and crashed after experiencing an in flight fire."|"?"|"2"
"Junkers F-13"|"?"|"?"|"?"|"September 15, 1920"|"?"|"0"|"Pemberville, Ohio"|"US Aerial Mail Service"|"?"|"?"|"308"|"?"|"The pilot crashed after attempting to make an emergency landing after the engine caught fire."|"?"|"2"
"De Havilland DH-4"|"?"|"1"|"1"|"September 27, 1920"|"?"|"0"|"Hillersburg, Pennsylvania"|"US Aerial Mail Service"|"0"|"0"|"316"|"?"|"The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility."|"?"|"1"
"Salmson 2-A-2"|"31"|"1"|"1"|"October 02, 1920"|"?"|"0"|"Off Port Vendres, France"|"Latecoere Airlines"|"1"|"1"|"F-ALAI"|"?"|"Crashed into the Mediterranean while on a mail flight."|"?"|"2"
"Breguet 14"|"20"|"1"|"1"|"October 05, 1920"|"?"|"0"|"Valencia, Spain"|"Latecoere Airlines"|"1"|"1"|"F-ALTA"|"?"|"While on a mail flight the plane crashed while attempting to land."|"?"|"2"
"De Havilland DH-4"|"?"|"1"|"1"|"October 15, 1920"|"?"|"0"|"Batavia, Illinois"|"US Aerial Mail Service"|"0"|"0"|"76"|"?"|"While attempting to land in fog the aircraft hit an obstruction and crashed."|"?"|"1"
"De Havilland DH-4"|"178"|"1"|"1"|"November 07, 1920"|"?"|"0"|"Tie Siding, Wyoming"|"US Aerial Mail Service"|"0"|"0"|"?"|"?"|"The aircraft crashed into a mountain in poor weather condtions."|"?"|"1"
"Handley Page HP-16"|"HP-25"|"2"|"2"|"December 14, 1920"|"?"|"0"|"London, England"|"Handley Page Transport"|"6"|"2"|"G-EAMA"|"London - Paris"|"The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service.."|"c12:15"|"8"
"Breguet 14"|"57"|"1"|"1"|"December 24, 1920"|"?"|"0"|"Barcelona, Spain"|"Aeropostale"|"0"|"0"|"F-ALBO"|"?"|"The aircraft stalled and crashed when an engine failed."|"?"|"1"
"De Havilland DH-4"|"?"|"1"|"1"|"February 03, 1921"|"?"|"0"|"Mendotta, Minnisota"|"US Aerial Mail Service"|"0"|"0"|"130"|"?"|"Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field."|"?"|"1"
"Junkers F-13"|"?"|"3"|"3"|"February 09, 1921"|"?"|"0"|"La Crosse, Wisconsin"|"US Aerial Mail Service"|"0"|"0"|"301"|"?"|"Crashed for unknown reasons. Both pilots and the mechanic were killed."|"?"|"3"
"Breguet 14"|"?"|"2"|"2"|"February 15, 1921"|"?"|"0"|"Off Gibraltar"|"Aeropostale"|"0"|"0"|"F-ALBA"|"?"|"The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered."|"?"|"2"
"De Havilland DH-4"|"?"|"1"|"1"|"February 22, 1921"|"?"|"0"|"Elko, Nevada"|"US Aerial Mail Service"|"0"|"0"|"67"|"?"|"Shortly after taking off, the aircraft stalled and crashed ."|"?"|"1"
"  	
Avro 504"|"?"|"0"|"0"|"April 06, 1921"|"?"|"0"|"Point Cook, Australia"|"Military - Royal Australian Air Force"|"0"|"0"|"H3021"|"?"|"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."|"?"|"2"
"De Havilland DH-4"|"?"|"1"|"1"|"April 21, 1921"|"?"|"0"|"Mitchel Field, NY"|"US Aerial Mail Service"|"0"|"0"|"160"|"?"|"After taking off the aircraft stalled and crashed."|"?"|"1"
"De Havilland DH-4"|"?"|"1"|"1"|"April 29, 1921"|"?"|"0"|"Cleveland, Ohio"|"US Aerial Mail Service"|"0"|"0"|"196"|"?"|"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."|"?"|"1"
"De Havilland DH-4
De Havilland DH-4"|"?"|"1"|"1"|"May 17, 1921"|"?"|"0"|"Rock Springs, Wyoming"|"US Aerial Mail Service"|"0"|"0"|"176"|"?"|"Crashed while attempting to land."|"?"|"1"
"Breguet 14"|"?"|"?"|"?"|"August 14, 1921"|"?"|"0"|"Toulouse, France"|"Aeropostale"|"?"|"?"|"F-ALBI"|"?"|"?"|"?"|"2"
"Royal Airship Works ZR-2 (airship)"|"R-38"|"46"|"46"|"August 24, 1921"|"?"|"1"|"River Humber, England"|"Military - Royal Airship Works"|"0"|"0"|"R-38"|"?"|"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design."|"c 17:40"|"46"
"Potez IX"|"160"|"1"|"1"|"September 06, 1921"|"?"|"0"|"Paris, France"|"Franco-Roumaine"|"4"|"4"|"F-ADCD"|"Warsaw - Prague - Strasbourg - Paris"|"Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway."|"?"|"5"
"Bristol 28 Tourer"|"6116"|"2"|"2"|"December 05, 1921"|"?"|"0"|"Near Murchinson River, Australia"|"West Australian Airways"|"0"|"0"|"G-AUDI"|"Geraldton - Derby"|"On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila."|"?"|"2"
"Handley Page O/10"|"HP-43"|"1"|"1"|"January 14, 1922"|"?"|"5"|"Paris, France"|"Handley Page Transport"|"4"|"4"|"G-EATN"|"?"|"Crashed at Le Bourget field."|"?"|"5"
"Dirigible Roma (airship)"|"?"|"?"|"?"|"February 21, 1922"|"?"|"0"|"Near Norfolk, Virginia"|"Military - U.S. Army Air Service"|"?"|"?"|"?"|"?"|"Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls."|"?"|"45"
"Aeromarine Model 85 (flying boat)"|"?"|"1"|"0"|"March 22, 1922"|"?"|"0"|"North Atlantic Ocean"|"Aero Limited"|"5"|"5"|"?"|"Miami - Bimini"|"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."|"1140"|"6"
"de Havilland DH-18 / Farman F-60 Goliath"|"4"|"2"|"2"|"April 07, 1922"|"?"|"0"|"Grandvilliers, France"|"Daimler Airways / Grands Express Aeriens"|"5"|"5"|"G-EAOW/FGEAD"|"Croydon - Le Bourget"|"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."|"1315"|"7"
"?"|"?"|"17"|"17"|"April 08, 1922"|"?"|"0"|"Pao Ting Fou, China"|"?"|"0"|"0"|"?"|"Test"|"Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals."|"?"|"17"
"Bleriot Spad 27"|"555"|"1"|"1"|"June 03, 1922"|"?"|"0"|"Off Folkestone, Kent, England"|"Cie des Messageries Aeriennes"|"2"|"2"|"F-ACMH"|"Croydon - Paris"|"Went down into the English Channel while en route."|"?"|"3"
"LVG C VI"|"?"|"1"|"1"|"July 04, 1922"|"?"|"0"|"Fuhlsbuttel, Germany"|"?"|"2"|"1"|"?"|"Hamburg - Berlin"|"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."|"?"|"3"
"Potez 29"|"25"|"1"|"1"|"July 16, 1922"|"?"|"0"|"Near Saverne, Lorraine, France"|"Compagnie Franco-Roumaine de Navigaation Aerienne"|"4"|"4"|"F-FREI"|"Strasbourg - Paris"|"Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed."|"1645"|"5"
"Breguet 14"|"117"|"1"|"1"|"July 26, 1922"|"?"|"0"|"Cadix, Spain"|"Grands Express Aeriens"|"2"|"2"|"F-ALVE"|"?"|"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."|"?"|"3"
"De Havilland DH-4"|"?"|"1"|"1"|"September 07, 1922"|"?"|"0"|"Indianapolis, Indiana"|"US Aerial Mail Service"|"0"|"0"|"227"|"?"|"The plane stalled shortly after takeoff and crashed."|"?"|"1"
"de Havilland DH-9"|"14"|"1"|"1"|"October 02, 1922"|"?"|"0"|"Venice, Italy"|"de Havilland Air Service"|"3"|"3"|"G-EAYT"|"Venice - London"|"Shortly after taking off the plane crashed into the sea and sank."|"?"|"4"
"Breguet 14"|"?"|"1"|"1"|"October 25, 1922"|"?"|"0"|"Larache, Morocco"|"Grands Express Aeriens"|"1"|"1"|"?"|"?"|"Crashed under unknown circumstances."|"?"|"2"
"Breguet 14"|"14"|"1"|"1"|"December 03, 1922"|"?"|"0"|"Fez, Morocco"|"Grands Express Aeriens"|"0"|"0"|"F-ALNA"|"Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat"|"While flying in foggy conditions the pilot reduced altitude and crashed into a hill."|"?"|"1"
"Lioré-et-Olivier H-13"|"4"|"2"|"2"|"January 10, 1923"|"?"|"0"|"Ajaccio, France"|"Amee de l'Air"|"2"|"1"|"F-AEIB"|"?"|"The plane crashed mid-air due to a structural failure of the tail."|"?"|"4"
"Breguet 14"|"6083-130"|"1"|"1"|"January 17, 1923"|"?"|"0"|"Barcelona, Spain"|"Grands Express Aeriens"|"0"|"0"|"F-ALJU"|"?"|"Crashed into a mountain during a snowstorm."|"?"|"1"
"De Havilland DH-4"|"?"|"1"|"1"|"January 18, 1923"|"?"|"0"|"Cheyenne, Wyoming"|"US Aerial Mail Service"|"0"|"0"|"223"|"?"|"Crashed during a mail flight."|"?"|"1"
"De Havilland DH-4"|"?"|"1"|"1"|"February 26, 1923"|"?"|"0"|"Meadville, Pennsylvania"|"US Aerial Mail Service"|"0"|"0"|"291"|"?"|"The pilot lost control of the aircraft  while on approach in poor weather conditions."|"?"|"1"
"Farman F-60 Goliath"|"15"|"2"|"2"|"May 14, 1923"|"?"|"0"|"Near Amiens, Picrdie, France"|"Grands Express Aeriens (Air Union)"|"4"|"4"|"F-AEBY"|"Paris - London"|"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."|"1342"|"6"
"Farman F.60 Goliath"|"4"|"2"|"0"|"August 27, 1923"|"?"|"0"|"East Mallling, United Kingdom"|"Air Union"|"9"|"1"|"F-AECB"|"Paris - Berck-sur-Mer - Croydon"|"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed."|"1730"|"11"
"Blériot Spad 46"|"28"|"1"|"1"|"August 27, 1923"|"?"|"0"|"Bucharest, Romania"|"Campagnie France Roumaine"|"1"|"1"|"F-AEGN"|"?"|"Crashed while on approach to Bucharesst."|"?"|"2"
"De Havilland DH-4"|"?"|"1"|"1"|"September 07, 1923"|"?"|"0"|"Colton, Ohio"|"US Aerial Mail Service"|"0"|"0"|"283"|"?"|"Crashed during an emergency landing attempt."|"?"|"1"
"de Havilland DH-34"|"29"|"2"|"2"|"September 14, 1923"|"?"|"0"|"Near Ivinghoe, Buckinghamshire, England"|"Daimler Airways"|"3"|"3"|"G-EBBS"|"Croydon - Manchester"|"Crashed while attempting a forced landing after encountering heavy rain."|"c 18:00"|"5"
"Junkers F-13"|"?"|"3"|"2"|"November 18, 1923"|"?"|"0"|"Russia"|"CCCP"|"2"|"1"|"D-257"|"?"|"Crashed during a training flight."|"?"|"5"
"De Havilland DH-4"|"?"|"1"|"1"|"December 06, 1923"|"?"|"0"|"Castalia, Ohio"|"US Aerial Mail Service"|"0"|"0"|"318"|"?"|"Crashed under unknown circumstances."|"?"|"1"
"Zeppelin Dixmunde (airship)"|"?"|"?"|"?"|"December 23, 1923"|"?"|"0"|"Over the Mediterranean Sea"|"Military - French Navy"|"?"|"?"|"L-72"|"Toulon - Algiers"|"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."|"c 02:30"|"52"
"De Havilland DH-4"|"?"|"1"|"1"|"December 24, 1923"|"?"|"0"|"Egbert, WY"|"US Aerial Mail Service"|"0"|"0"|"315"|"?"|"Crashed into a montain in poor weather conditions."|"?"|"1"
"De Havilland DH-4"|"?"|"1"|"1"|"March 07, 1924"|"?"|"0"|"Grampian, Pennsylvania"|"US Aerial Mail Service"|"0"|"0"|"327"|"?"|"Crashed during a snowstorm."|"?"|"1"
"Fokker F.III"|"1535"|"1"|"1"|"April 24, 1924"|"?"|"0"|"Over the English Channel"|"KLM Royal Dutch Airlines"|"2"|"2"|"H-NABS"|"Lympne, England - Rotterdam, The Netherlands"|"The aircraft disappeared over the North Sea. The plane and passengers were never found."|"?"|"3"
"Junkers F-13"|"684"|"2"|"2"|"June 08, 1924"|"?"|"0"|"Barranquilla, Colombia"|"SCADTA"|"3"|"3"|"A16"|"Barranquilla - Bogota"|"Stalled after taking off and crashed into houses.."|"?"|"5"
"De Havilland DH-4"|"?"|"1"|"1"|"August 01, 1924"|"?"|"0"|"United States"|"US Aerial Mail Service"|"0"|"0"|"297"|"?"|"The pliot made a low pass in honor of another pilot who had died, stalled and cashed."|"?"|"1"
"Breguet 14"|"?"|"1"|"1"|"November 06, 1924"|"?"|"0"|"Cabrerolles, France"|"Grands Express Aeriens"|"0"|"0"|"F-AFBD"|"?"|"While en route the pilot encountered thunderstorms, lost control and crashed."|"?"|"1"
"De Havilland DH-4"|"?"|"1"|"1"|"December 21, 1924"|"?"|"0"|"Goshen, Indiana"|"US Aerial Mail Service"|"0"|"0"|"311"|"?"|"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed."|"?"|"1"
"de Havilland DH-34B"|"36"|"1"|"1"|"December 24, 1924"|"?"|"0"|"Purley, England"|"Imperial Airways"|"7"|"7"|"G-EBBX"|"London - Paris"|"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing."|"c 12:00"|"8"
"Junkers F-13"|"590"|"2"|"2"|"March 22, 1925"|"?"|"0"|"Near Tiflis, Georgia, USSR"|"Zakavia"|"3"|"3"|"R-RECA"|"Tiflis - Suchumi"|"Shortly after take off the plane went out of control and crashed in flames."|"?"|"5"
"Breguet 14"|"202"|"2"|"2"|"April 25, 1925"|"?"|"0"|"Alicante, Spain"|"Grands Express Aeriens"|"1"|"1"|"F-AFBB"|"Alicante - Barcelona - Toulouse"|"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."|"?"|"3"
"Fokker (KLM)  F.III"|"1502"|"1"|"1"|"June 25, 1925"|"?"|"0"|"Landrécies, France"|"KLM Royal Dutch Airlines"|"3"|"3"|"H-NABM"|"Amsterdam - Paris"|"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."|"?"|"4"
"Lioré-et-Olivier LeO H-13"|"?"|"2"|"2"|"June 26, 1925"|"?"|"0"|"Alicante, Spain"|"Grands Express Aeriens"|"0"|"0"|"F-FREM"|"Oran - Alicante"|"While attempting to land the seaplane hit a lightning mast and crashed."|"?"|"2"
"Breguet 14"|"209"|"1"|"1"|"July 20, 1925"|"?"|"0"|"Rosas, Spain"|"Lignes Aeriennes Latecoere"|"0"|"0"|"F-AFBI"|"Toulouse - Barcelona"|"Crashed in unknown circumstance."|"?"|"1"
"Potez IX"|"?"|"1"|"1"|"July 24, 1925"|"?"|"0"|"Budapest, Hungary"|"CIDNA"|"0"|"0"|"?"|"?"|"Crashed while attempting to land 10 km from the airport"|"?"|"1"
